plein_id,mission_id,vehicule_id,chauffeur_id,date,litres,montant_fcfa,_anomalie_reelle
FL-000001,MS-000001,AA-218-QX,10027889,2023-08-13,3.2,3124,1
FL-000002,MS-000002,AA-283-QK,10027889,2023-08-13,6.9,6785,1
FL-000003,MS-000003,AA-288-QK,10027889,2023-08-13,5.6,5518,0
FL-000004,MS-000004,AA-373-QK,10027889,2023-08-13,4.8,4742,0
FL-000005,MS-000005,WV-IT-517,10027889,2023-08-14,7.3,7209,0
FL-000006,MS-000006,WV-IT-680,10027889,2023-08-14,11.6,11475,0
FL-000007,MS-000008,WV-IT-567,10027889,2023-08-14,46.5,46080,0
FL-000008,MS-000009,WV-IT-568,10027889,2023-08-14,5.5,5493,0
FL-000009,MS-000010,AA-888-QG,10027889,2023-08-14,9.0,8902,0
FL-000010,MS-000011,AA-892-QG,10027889,2023-08-14,8.5,8456,0
FL-000011,MS-000012,AA-903-QG,10027889,2023-08-14,4.9,4868,0
FL-000012,MS-000015,AA-345-QK,10027889,2023-08-14,5.1,5088,0
FL-000013,MS-000016,AA-278-QK,10027889,2023-08-14,5.1,5082,0
FL-000014,MS-000017,AA-170-QY,10027889,2023-08-14,5.2,5153,0
FL-000015,MS-000020,AA-155-QY,10027889,2023-08-14,3.4,3412,0
FL-000016,MS-000021,AA-934-QX,10027889,2023-08-14,5.6,5572,0
FL-000017,MS-000022,AA-951-QX,10027889,2023-08-14,5.4,5394,0
FL-000018,MS-000023,AA-728-RH,10027889,2023-08-14,2.3,2271,0
FL-000019,MS-000025,WV-IT-636,10027889,2023-08-14,1.2,1181,0
FL-000020,MS-000027,WV-IT-578,10027889,2023-08-14,7.0,6897,0
FL-000021,MS-000028,WV-IT-585,10027889,2023-08-14,9.6,9536,1
FL-000022,MS-000029,WV-IT-527,10027889,2023-08-14,1.2,1202,0
FL-000023,MS-000030,WV-IT-663,10027889,2023-08-14,5.8,5780,0
FL-000024,MS-000031,WV-IT-664,10027889,2023-08-14,2.6,2608,0
FL-000025,MS-000033,WV-IT-684,10027889,2023-08-14,2.3,2236,0
FL-000026,MS-000034,AA-425-NX,10027889,2023-08-14,5.0,4981,0
FL-000027,MS-000035,AA-728-NW,10027889,2023-08-14,4.7,4679,0
FL-000028,MS-000037,WV-IT-687,10027889,2023-08-14,9.3,9208,0
FL-000029,MS-000038,AA-905-QG,10027889,2023-08-14,4.5,4418,0
FL-000030,MS-000040,AA-897-QG,10027889,2023-08-14,4.4,4375,0
FL-000031,MS-000041,AA-885-QG,10027889,2023-08-14,3.8,3747,0
FL-000032,MS-000042,AA-858-QG,10027889,2023-08-14,4.6,4591,0
FL-000033,MS-000043,AA-814-QG,10027889,2023-08-14,2.6,2587,0
FL-000034,MS-000044,AA-284-TE,10027889,2023-08-14,4.3,4216,0
FL-000035,MS-000045,AA-742-NW,10027889,2023-08-14,2.1,2039,0
FL-000036,MS-000047,WV-IT-572,10027889,2023-08-14,5.5,5493,0
FL-000037,MS-000048,WVIT-702,10027889,2023-08-14,28.0,27703,0
FL-000038,MS-000049,WVIT-699,10027889,2023-08-14,45.5,45077,0
FL-000039,MS-000050,WVIT-681,10027889,2023-08-14,22.3,22117,0
FL-000040,MS-000051,WV-IT-575,10027889,2023-08-15,35.3,34900,0
FL-000041,MS-000053,WV-IT-692,10027889,2023-08-15,18.7,18553,0
FL-000042,MS-000054,AA-892-QG,10027889,2023-08-15,7.1,6990,0
FL-000043,MS-000055,AA-242-PJ,10027889,2023-08-15,6.8,6737,0
FL-000044,MS-000056,AA-240-PJ,10027889,2023-08-15,2.7,2656,0
FL-000045,MS-000057,AA-126-QX,10027889,2023-08-15,4.7,4691,0
FL-000046,MS-000058,AA-903-QG,10027889,2023-08-15,3.6,3564,0
FL-000047,MS-000059,AA-345-QK,10027889,2023-08-15,1.9,1901,0
FL-000048,MS-000060,AA-288-QK,10027889,2023-08-15,2.0,2024,0
FL-000049,MS-000061,AA-373-QK,10027889,2023-08-15,4.7,4663,0
FL-000050,MS-000062,AA-748-NW,10027889,2023-08-15,3.4,3395,0
FL-000051,MS-000063,AA-170-QY,10027889,2023-08-15,5.9,5845,0
FL-000052,MS-000065,WV-IT-685,10027889,2023-08-15,4.1,4034,0
FL-000053,MS-000066,WV-IT-640,10027889,2023-08-15,4.8,4775,0
FL-000054,MS-000068,WV-IT-582,10027889,2023-08-15,5.2,5170,0
