maintenance_id,vehicule_id,date,type_intervention,categorie,cout_fcfa,jours_immobilisation,km_compteur
MT-00001,AA-155-QY,2023-08-15,Entretien préventif,Vidange/Révision,34529,1,26
MT-00002,WV-IT-517,2023-08-18,Entretien préventif,Vidange/Révision,75031,1,257
MT-00003,WV-IT-575,2023-08-22,Entretien préventif,Vidange/Révision,102707,1,588
MT-00004,AA-968-NW,2023-08-24,Entretien préventif,Vidange/Révision,25000,1,52
MT-00005,WV-IT-529,2023-08-30,Entretien préventif,Vidange/Révision,56890,1,1256
MT-00006,WVIT-702,2023-09-04,Entretien préventif,Vidange/Révision,93496,1,2684
MT-00007,WV-IT-552,2023-09-06,Entretien préventif,Vidange/Révision,91332,1,407
MT-00008,WV-IT-687,2023-09-06,Entretien préventif,Vidange/Révision,25000,1,266
MT-00009,AA-858-QG,2023-09-07,Entretien préventif,Vidange/Révision,41934,1,140
MT-00010,WVIT-701,2023-09-12,Entretien préventif,Vidange/Révision,119289,1,2672
MT-00011,WV-IT-574,2023-09-18,Entretien préventif,Vidange/Révision,92246,1,1705
MT-00012,WVIT-700,2023-09-19,Entretien préventif,Vidange/Révision,64524,1,1393
MT-00013,WV-IT-564,2023-09-20,Entretien préventif,Vidange/Révision,79647,1,2216
MT-00014,WV-IT-567,2023-09-21,Entretien préventif,Vidange/Révision,113820,1,2318
MT-00015,AA-284-TE,2023-09-21,Entretien préventif,Vidange/Révision,25000,1,209
MT-00016,AA-834-QG,2023-09-26,Entretien préventif,Vidange/Révision,25000,1,345
MT-00017,AA-903-QG,2023-09-28,Panne,Embrayage/Transmission,574814,6,404
MT-00018,WV-IT-693,2023-09-27,Entretien préventif,Vidange/Révision,81932,1,3172
MT-00019,AA-888-QG,2023-09-29,Entretien préventif,Vidange/Révision,25000,1,568
MT-00020,AA-657-NW,2023-09-30,Entretien préventif,Vidange/Révision,29894,1,421
MT-00021,AA-733-NW,2023-09-30,Entretien préventif,Vidange/Révision,33446,1,160
MT-00022,WV-IT-561,2023-10-02,Entretien préventif,Vidange/Révision,83764,1,2986
MT-00023,AA-833-RH,2023-10-05,Entretien préventif,Vidange/Révision,25000,1,501
MT-00024,WV-IT-692,2023-10-06,Entretien préventif,Vidange/Révision,116207,1,1293
MT-00025,WVIT694,2023-10-07,Panne,Moteur,1061937,7,2292
MT-00026,WV-IT-691,2023-10-10,Entretien préventif,Vidange/Révision,88748,1,2751
MT-00027,WV-IT-568,2023-10-12,Entretien préventif,Vidange/Révision,97214,1,2910
MT-00028,WV-IT-686,2023-10-14,Panne,Moteur,770704,9,643
MT-00029,AA-288-QK,2023-10-20,Entretien préventif,Vidange/Révision,25000,1,749
MT-00030,987297,2023-10-24,Entretien préventif,Vidange/Révision,45838,1,556
MT-00031,WVIT694,2023-10-25,Entretien préventif,Vidange/Révision,96313,1,3735
MT-00032,WV-IT-690,2023-10-29,Entretien préventif,Vidange/Révision,25000,1,773
MT-00033,WV-IT-552,2023-10-31,Panne,Pneumatique,125147,1,2991
MT-00034,WV-IT-514,2023-10-31,Entretien préventif,Vidange/Révision,101061,1,4279
MT-00035,AA-340-QK,2023-11-02,Panne,Freinage,120752,2,385
MT-00036,WV-IT-569,2023-11-07,Entretien préventif,Vidange/Révision,84370,1,2444
MT-00037,WV-IT-551,2023-11-08,Entretien préventif,Vidange/Révision,75666,1,4292
MT-00038,AA-299-TE,2023-11-15,Panne,Pneumatique,136024,2,871
MT-00039,WV-IT-570,2023-11-16,Entretien préventif,Vidange/Révision,28696,1,518
MT-00040,AA-210-PJ,2023-11-18,Entretien préventif,Vidange/Révision,43359,1,1052
MT-00041,AA-907-QG,2023-11-18,Entretien préventif,Vidange/Révision,59630,1,838
MT-00042,WV-IT-571,2023-11-23,Entretien préventif,Vidange/Révision,30500,1,858
MT-00043,WVIT-702,2023-11-24,Entretien préventif,Vidange/Révision,79367,1,7883
MT-00044,WVIT-699,2023-11-24,Entretien préventif,Vidange/Révision,77999,1,4255
MT-00045,AA-949-QX,2023-11-28,Entretien préventif,Vidange/Révision,25000,1,901
MT-00046,WV-IT-529,2023-11-28,Entretien préventif,Vidange/Révision,85530,1,6539
MT-00047,WV-IT-567,2023-11-29,Entretien préventif,Vidange/Révision,104995,1,7345
MT-00048,WV-IT-663,2023-11-30,Entretien préventif,Vidange/Révision,25000,1,1239
MT-00049,WVIT-576,2023-11-30,Entretien préventif,Vidange/Révision,96262,1,3534
MT-00050,WV-IT-680,2023-12-01,Entretien préventif,Vidange/Révision,91470,1,2493
MT-00051,AA-728-RH,2023-12-01,Entretien préventif,Vidange/Révision,51371,1,1150
MT-00052,WVIT-701,2023-12-06,Entretien préventif,Vidange/Révision,78648,1,7927
MT-00053,WV-IT-604,2023-12-07,Entretien préventif,Vidange/Révision,38734,1,1112
MT-00054,WV-IT-574,2023-12-08,Entretien préventif,Vidange/Révision,53487,1,7018
MT-00055,WV-IT-578,2023-12-09,Panne,Électrique/Batterie,43748,1,1020
MT-00056,WV-IT-564,2023-12-08,Entretien préventif,Vidange/Révision,89992,1,7351
MT-00057,AA-423-NX,2023-12-15,Panne,Freinage,178125,1,993
MT-00058,WV-IT-691,2023-12-15,Entretien préventif,Vidange/Révision,81268,1,7913
