immatriculation,vehicule_id,marque,modele,type_vehicule,n_chassis,centre_service,localite,puissance_cv,imputation,date_premiere_circulation,annee_mise_en_service,date_acquisition,valeur_acquisition_fcfa,combustible,conso_nominale_l_100km,km_initial,date_visite_technique,etat_visite_technique,prochaine_visite_technique,date_souscription_assurance,etat_assurance,renouvellement_assurance,date_admission_temporaire,etat_at,renouvellement_at,etat_carte_grise,etat_vehicule,remarques
WV-IT-569,WV-IT-569,TOYOTA,HILUX,Voiture,AHTKB8CD002969157,DKR,BUREAU NATIONAL,12,Projet NTD,3/26/2019,2019,6/6/2018,0,Gasoil,10,0,10/18/2025,BON,10/18/2026,10/6/2026,BON,10/6/2027,2/17/2025,BON,2/17/2026,BON,Fonctionnel,
WV-IT-517,WV-IT-517,TOYOTA,LC PRADO TX,Voiture,JTEBD9FJ20K019411,DKR,BUREAU NATIONAL,12,Projet PINGS,2/5/2016,2016,5/2/2016,0,Gasoil,10,0,6/14/2023,PAS BON,6/14/2024,1/1/2024,PAS BON,1/1/2025,2/26/2024,BON,2/26/2025,PAS BON,Fonctionnel,
WV-IT-680,WV-IT-680,TOYOTA,HILUX,Voiture,AHTKB8CD202984789,DKR,BUREAU NATIONAL,12,Administration,5/30/2023,2023,5/30/2022,0,Gasoil,10,0,,NEUF,,1/1/2024,BON,1/1/2025,6/6/2025,BON,6/6/2026,,Fonctionnel,
WVTEST3,WVTEST3,TOYOTA,LAND CRUISER,Voiture,JTEBR9FJ00K25TEST,DKR,BUREAU NATIONAL,12,WASH,7/6/2023,2023,5/16/2022,0,Super,10,0,6/25/2026,PAS BON,6/25/2027,1/1/2025,BON,1/1/2026,6/6/2025,BON,6/6/2026,PAS BON,Fonctionnel,TEST2 d'Ajout de voiture
WV-IT-551,WV-IT-551,TOYOTA,HILUX,Voiture,AHTFK8CD900323385,Kaffrine,Zone Centre,12,KAFFRINE,5/29/2018,2018,2/28/2018,0,Gasoil,10,0,12/19/2023,BON,12/19/2024,2/1/2025,BON,2/1/2026,,BON,,,Fonctionnel,
WV-IT-552,WV-IT-552,TOYOTA,HILUX,Voiture,AHTFK08CD000323,Kaffrine,Zone Centre,12,WASH,5/29/2018,2018,2/28/2018,0,Gasoil,10,0,6/2/2026,BON,6/2/2027,2/1/2026,BON,2/1/2027,4/24/2027,BON,4/24/2028,BON,Fonctionnel,
WV-IT-567,WV-IT-567,TOYOTA,PRADO,Voiture,JTEBD9FJ10K023224,Kaffrine,Zone Centre,12,Administration,3/26/2019,2019,1/31/2019,0,Gasoil,10,0,3/16/2024,BON,3/16/2025,1/1/2024,BON,1/1/2025,2/20/2023,BON,2/20/2024,,Fonctionnel,
WV-IT-568,WV-IT-568,TOYOTA,HILUX,Voiture,AHTKB8CD202969130,Tamba,Zone Centre,12,THRIVE DKR,3/26/2019,2019,1/31/2019,0,Gasoil,10,0,10/8/2026,BON,10/8/2027,1/1/2024,BON,1/1/2025,,BON,,BON,Fonctionnel,
WV-IT-575,WV-IT-575,TOYOTA,HILUX,Voiture,AHTKK8CD100680176,Fatick,Zone Centre,12,PAF,10/8/2020,2020,1/31/2020,0,Gasoil,10,0,12/12/2026,BON,12/12/2027,1/1/2024,BON,1/1/2025,12/25/2023,BON,12/25/2024,BON,Fonctionnel,Voiture Garee
WV-IT-534,WV-IT-534,TOYOTA,PRADO,Voiture,JTTEBD9FJ40K021287,DKR,BUREAU NATIONAL,12,Administration,,2026,9/6/2017,0,Gasoil,10,0,2/9/2026,BON,2/9/2027,1/31/2027,BON,1/31/2028,5/13/2025,BON,5/13/2026,PAS BON,Fonctionnel,Voiture Garee
WV-IT-562,WV-IT-562,TOYOTA,HILUX,Voiture,AHTKB8CD502969333,Kaffrine,Zone Centre,12,AP KAFFRINE,,2026,12/19/2018,0,Gasoil,10,0,,,,1/1/2024,PAS BON,1/1/2025,,BON,,PAS BON,Non Fonctionnel,
WV-IT-519,WV-IT-519,TOYOTA,Hilux DLC,Voiture,AHTKBBCD702987297,Tamba,Zone Centre,12,,,2026,,0,Gasoil,10,0,,PAS BON,,2/1/2025,PAS BON,2/1/2026,,BON,,PAS BON,Non Fonctionnel,VŽhicule garŽ
WV-IT-514,WV-IT-514,TOYOTA,LAND CRUISER HARDTOP 78,Voiture,JTERB71J800083349,Tamba,Zone Centre,17,AP Tamba,7/17/2016,2016,1/19/2016,0,Gasoil,10,0,8/31/2023,PAS BON,8/31/2024,2/1/2026,BON,2/1/2027,2/13/2024,BON,2/13/2025,PAS BON,Fonctionnel,A T en cours
WV-IT-692,WV-IT-692,TOYOTA,LAND CRUISER HARDTOP,Voiture,JTEB71J40F024181,KDG,ZONE SUD,17,Kedougou,12/11/2023,2023,10/1/2023,0,Gasoil,10,0,,BON,,2/1/2026,BON,2/1/2027,,BON,,BON,Fonctionnel,
WV-IT-561,WV-IT-561,TOYOTA,HILUX,Voiture,AHTKB8CD00296965,Kolda,Zone Sud,10,WASH,3/4/2019,2019,2/19/2019,0,Gasoil,10,0,5/5/2026,BON,5/5/2027,,BON,,11/10/2026,BON,11/10/2027,BON,Fonctionnel,
WV-IT-563,WV-IT-563,TOYOTA,LAND CRUISER HARDTOP ,Voiture,JTEEB71J9070441,KDG,ZONE SUD,17,,3/4/2019,2019,3/4/2019,0,Gasoil,10,0,2/29/2024,PAS BON,2/28/2025,,PAS BON,,1/15/2024,PAS BON,1/15/2025,PAS BON,Non Fonctionnel,
AA-888-QG,AA-888-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096929,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-846-QG,AA-846-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096682,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-881-QG,AA-881-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096843,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-892-QG,AA-892-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096683,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-840-QG,AA-840-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096696,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-865-QG,AA-865-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096701,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-218-QX,AA-218-QX,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6PJ042514,Kaffrine,Zone Centre,0,,,2026,1/26/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-210-PJ,AA-210-PJ,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6NJ004212,Kaffrine,Zone Centre,0,,,2026,10/9/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-242-PJ,AA-242-PJ,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6NJ009975,Kaffrine,Zone Centre,0,,,2026,10/10/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-240-PJ,AA-240-PJ,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6NJ002700,Kaffrine,Zone Centre,0,,,2026,10/9/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-369-QX,AA-369-QX,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6PJ042463,Kaffrine,Zone Centre,0,,,2026,1/26/2025,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-126-QX,AA-126-QX,YAMAHA,MOTORCYCLE,Moto,MKZS3N1H6PJ042629,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-688,WV-IT-688,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-737-NW,AA-737-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-571,WV-IT-571,YAMAHA,MOTORCYCLE,Moto,LBPKE1355K0066283,Kaffrine,Zone Centre,0,,,2026,7/29/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
WV-IT-570,WV-IT-570,YAMAHA,MOTORCYCLE,Moto,LBPKE1353K0066265,Kaffrine,Zone Centre,0,,,2026,7/29/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-903-QG,AA-903-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096680,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-907-QG,AA-907-QG,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-908-QG,AA-908-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096688,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-902-QG,AA-902-QG,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096945,Kaffrine,Zone Centre,0,,,2026,12/14/2023,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-340-QK,AA-340-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096661,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-280-QK,AA-280-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096665,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-345-QK,AA-345-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE27129P006654,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-278-QK,AA-278-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096663,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-283-QK,AA-283-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096666,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-288-QK,AA-288-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096649,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-373-QK,AA-373-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096652,Kaffrine,Zone Centre,0,,,2026,2/22/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-336-QK,AA-336-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096644,Kaffrine,Zone Centre,0,,,2026,2/21/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-284-QK,AA-284-QK,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096633,Kaffrine,Zone Centre,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-739-NW,AA-739-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-744-NW,AA-744-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-748-NW,AA-748-NW,YAMAHA,MOTORCYCLE,Moto,,nan,ZONE CENTRE,0,,,2026,,0,,10,0,,,,,,,,,,,Fonctionnel,
AA-170-QY,AA-170-QY,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0096971,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-949-QX,AA-949-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097057,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-945-QX,AA-945-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097056,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-941-QX,AA-941-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P009699,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-986-QX,AA-986-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097048,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-155-QY,AA-155-QY,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097028,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-934-QX,AA-934-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097041,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-979-QX,AA-979-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097033,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-951-QX,AA-951-QX,YAMAHA,MOTORCYCLE,Moto,ME1UE2712P0097029,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
AA-728-RH,AA-728-RH,YAMAHA,MOTORCYCLE,Moto,ME1UE2713P0098807,Kaffrine,Zone Centre,0,,,2026,3/27/2024,0,Super,10,0,,,,,,,,,,,Fonctionnel,
